id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2025-01-23,694.42,145887575.79,101394654320.38486,5,829429387.7657729
binancecoin,2025-01-24,689.69,145887575.79,100617735192.55904,5,1199872836.81872
binancecoin,2025-01-25,680.33,145887575.79,99154320524.46922,5,889253681.1006862
binancecoin,2025-01-26,686.46,145887575.79,100177213509.6658,5,494616452.6295134
binancecoin,2025-01-27,664.47,145887575.79,97045143802.68118,5,563417170.9715786
binancecoin,2025-01-28,679.68,145887575.79,99156553145.1091,5,1530126791.592371
binancecoin,2025-01-29,661.63,145887575.79,96518633297.52904,5,753536803.6865051
binancecoin,2025-01-30,667.75,145887575.79,97443671696.07394,5,803017578.167042
binancecoin,2025-01-31,676.95,145887575.79,98765596410.28197,5,555762517.518932
binancecoin,2025-02-01,677.11,145887575.79,98759128412.85182,5,729995227.3014902
binancecoin,2025-02-02,654.22,145887575.79,95597107782.2478,5,635620746.151515
binancecoin,2025-02-03,616.64,145887575.79,89802207151.70592,5,1132723233.233987
binancecoin,2025-02-04,616.41,145887575.79,89926094561.44997,5,3600635636.5933547
binancecoin,2025-02-05,573.6,145887575.79,83582971838.99136,5,1754660835.0289717
binancecoin,2025-02-06,569.52,145887575.79,83082022023.37912,5,556111377.5272002
binancecoin,2025-02-07,572.21,145887575.79,83497390989.30359,5,1003761062.9034272
binancecoin,2025-02-08,578.5,145887575.79,84302974182.76198,5,751278489.7213545
binancecoin,2025-02-09,614.71,145887575.79,89820272510.32805,5,1358173748.3343918
binancecoin,2025-02-10,617.28,145887575.79,90013323288.5319,5,2076025506.140306
binancecoin,2025-02-11,617.63,145887575.79,90114142311.63878,5,1096743740.0190518
binancecoin,2025-02-12,643.37,145887575.79,93939983216.01009,5,1475014557.293302
binancecoin,2025-02-13,698.07,145887575.79,101731781963.3888,5,2445455388.7791457
binancecoin,2025-02-14,669.91,145887575.79,97747388932.23824,5,5053346125.769553
binancecoin,2025-02-15,657.41,145887575.79,95866947744.54868,5,1867614110.4038904
binancecoin,2025-02-16,661.97,145887575.79,96571702672.32254,5,881770346.0843449
binancecoin,2025-02-17,674.73,145887575.79,98458814653.06976,5,1123867609.080516
binancecoin,2025-02-18,667.18,145887575.79,97344824704.8252,5,1031577914.4441284
binancecoin,2025-02-19,647.73,145887575.79,94430513841.1008,5,1157962160.3139863
binancecoin,2025-02-20,651.27,145887575.79,94979391300.60149,5,1067124436.0837576
binancecoin,2025-02-21,657.24,145887575.79,95917140961.6615,5,772069784.8547369
binancecoin,2025-02-22,646.8,145887575.79,94395544760.06454,5,1040952078.1494442
binancecoin,2025-02-23,668.79,145887575.79,97566157422.2611,5,988420626.34554
binancecoin,2025-02-24,658.3,145887575.79,96034671976.4126,5,587694368.3681146
binancecoin,2025-02-25,611.65,145887575.79,89277366666.72943,5,1152541876.7735782
binancecoin,2025-02-26,623.43,145887575.79,90971486245.88162,5,1861620239.3557467
binancecoin,2025-02-27,610.36,145887575.79,89068804316.15977,5,1423760323.6156917
binancecoin,2025-02-28,605.31,145887575.79,88306095591.59663,5,1086874190.5112782
binancecoin,2025-03-01,587.55,145887575.79,85736602497.7621,5,1527513660.3334212
binancecoin,2025-03-02,608.29,145887575.79,88705889575.59413,5,887615511.0007088
binancecoin,2025-03-03,623.64,145887575.79,90933571455.36256,5,1393848651.9408092
binancecoin,2025-03-04,574.33,145887575.79,84131864548.38559,5,1502671244.0216174
binancecoin,2025-03-05,583.15,145887575.79,85076550479.04813,5,1296685222.7007513
binancecoin,2025-03-06,597.85,145887575.79,87308885656.99092,5,565172537.3879949
binancecoin,2025-03-07,595.94,145887575.79,86832048702.56416,5,840033139.4891893
binancecoin,2025-03-08,594.55,145887575.79,86659310630.1766,5,1083021829.409551
binancecoin,2025-03-09,593.08,145887575.79,86509066986.42744,5,508781353.3737471
binancecoin,2025-03-10,554.73,145887575.79,80974945856.31647,5,794891836.6676661
